Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,100n,C14663
"C2, C3, C60, C64",1206,4,100nF,C14663
"C56, C57, C58, C59, C61, C73, C74",0805,7,100nF,C14663
"C62, C63",0805,2,22p,C1679
C65,1206,1,10uF,C14663
"C66, C67",1206,2,22uF,C14663
C68,1206,1,68pF,C14663
C69,CP_Elec_10x10,1,470uF,
C75,CP_Elec_8x10,1,100uF,
"D1, D11",LED_D5.0mm,2,LED2,
D10,0805,1,ALIVE,
D13,D_SMB_Handsoldering,1,SS54B-HF,
D15,0805,1,UARTTX,
D2,D_DO-201_P15.24mm_Horizontal,1,Zener 5V,
D9,0805,1,PWR,
"F1, F2, F3",Fuse_Bourns_MF-RG400,3,Polyfuse,
J1,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
"J10, J11, J3, J7, J9",TerminalBlock_Phoenix_MKDS-3-4-5.08_1x04_P5.08mm_Horizontal,5,Screw_Terminal_01x04,
J13,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01_Pin,
J16,PinHeader_1x01_P2.54mm_Vertical,1,uC_NRST,
J17,PinHeader_1x01_P2.54mm_Vertical,1,3V3_uC,
J18,PinHeader_1x01_P2.54mm_Vertical,1,SWO,
J4,PinHeader_1x03_P2.54mm_Vertical,1,DEBUG,
J5,PinHeader_1x03_P2.54mm_Vertical,1,UART,
L12,0805,1,Bead 600,C1002
L13,L_Wuerth_WE-PD-Typ-LS_Handsoldering,1,10uH,C162588
"Q1, Q2, Q3",SOT-223,3,NCV8402xST,
"Q4, Q7",TO-92_Inline,2,BC556,
"Q6, Q8",TO-92_Inline,2,BC546,
"R1, R13, R29, R3, R30, R32, R33, R35, R36, R43, R45, R5",1206,12,10k,C25804
"R10, R7, R9",1206,3,4k7,C22978
"R11, R12, R4, R6, R8",1206,5,10k,C22978
"R14, R16, R25, R26, R27, R28, R34, R39, R40, R42, R44, R46",1206,12,47k,C25804
R15,1206,1,33,C23140
"R17, R18, R19, R2, R20, R37",1206,6,1k,C22978
"R21, R22",1206,2,220,C22978
R23,1206,1,100k,C25804
R24,1206,1,33k,C25804
R31,joystickXYButton,1,Joystick,
R38,1206,1,22k,C25804
R41,1206,1,100,
"SW1, SW2, SW3, SW4, SW5",SW_PUSH_6mm_H5mm,5,SW_Push,
"TP1, TP10, TP11, TP2, TP21, TP22, TP25, TP26, TP27, TP28, TP29, TP33, TP7, TP8, TP9",TestPoint_THTPad_D1.0mm_Drill0.5mm,15,~,
TP5V1,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP5V,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD234,
U3,LQFP-64_10x10mm_P0.5mm,1,STM32F103RETx,
U4,SOT-23-6,1,TPS54302,
U6,SOT-223-3_TabPin2,1,AMS1117-3.3,
U7,SO-14_3.9x8.65mm_P1.27mm,1,74HCT04,
Y2,Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm,1,8MHz,tbd
