Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
6466767,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6471738,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6472399,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6493383,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
6493961,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6494726,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6495383,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6509993,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
6510574,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6511658,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6512423,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6522073,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
6527788,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6531693,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6532459,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6536770,00000010,false,Rx,9,3,B0,0E,00,00,00,00,00,00,
6542124,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
6547803,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6551725,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6552400,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6602272,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
6602942,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6603705,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6604468,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6605652,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
6606312,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6608087,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6608110,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6609056,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
6609888,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6611756,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6612961,00000040,false,Rx,9,8,23,00,00,08,FC,80,00,00,
6613724,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6614276,00000008,false,Rx,9,1,E3,00,00,00,00,00,00,00,
6617180,00000040,false,Rx,9,8,23,00,00,08,FC,80,00,00,
6617854,00000010,false,Rx,9,3,B0,0E,00,00,00,00,00,00,
6618406,00000008,false,Rx,9,1,E3,00,00,00,00,00,00,00,
6628592,00000040,false,Rx,9,8,21,00,00,08,FC,80,00,00,
6629600,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
6630149,00000008,false,Rx,9,1,E1,00,00,00,00,00,00,00,
6632185,00000040,false,Rx,9,8,21,00,00,08,FC,80,00,00,
6632844,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6633396,00000008,false,Rx,9,1,E1,00,00,00,00,00,00,00,
6636701,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6637781,00000040,false,Rx,9,7,B0,92,FF,FF,93,E5,00,00,
6639006,00000040,false,Rx,9,8,24,00,00,08,FC,40,00,00,
6639670,00000008,false,Rx,9,1,E4,00,00,00,00,00,00,00,
6653417,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
6653990,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6654647,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6655412,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6670049,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
6670625,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6671713,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6672475,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6682028,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
6686607,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6691777,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6692461,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6696810,00000010,false,Rx,9,3,B0,0E,00,00,00,00,00,00,
6702034,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
6706612,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6711716,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6712404,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6722062,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
6726640,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6731718,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6732402,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6742117,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
6746628,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6751733,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6752415,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6762187,00000040,false,Rx,9,8,27,00,00,FD,00,80,00,00,
