Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5493444,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5498571,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
5499223,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
5520209,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
5520792,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5521561,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
5522216,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
5536876,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
5537446,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5538530,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
5539292,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
5552572,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
5553445,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5558553,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
5559279,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
5564625,00000010,false,Rx,9,3,B0,0E,00,00,00,00,00,00,
5568866,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
5573494,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5578557,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
5579534,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
5631135,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
5631155,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5631171,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
5631353,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
5632441,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
5633202,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5633967,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
5634729,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
5635976,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
5636652,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5638477,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
5639770,00000040,false,Rx,9,8,23,00,00,08,FC,80,00,00,
5640532,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
