Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5665610,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5670615,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
5671304,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
5692501,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
5693088,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5693854,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
5694616,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
5709491,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
5710072,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5710836,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
5711599,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
5724653,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
5725522,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5735750,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
5735774,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
5735791,00000010,false,Rx,9,3,B0,0E,00,00,00,00,00,00,
5741036,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
5745521,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5750707,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
5751402,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
5801129,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
5801815,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5802582,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
5803451,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
5804532,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
5805295,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5806054,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
5808408,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
5808427,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
5808681,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5810683,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
5811844,00000040,false,Rx,9,8,23,00,00,08,FC,80,00,00,
5812622,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
5813171,00000008,false,Rx,9,1,E3,00,00,00,00,00,00,00,
5816054,00000040,false,Rx,9,8,23,00,00,08,FC,80,00,00,
5816817,00000010,false,Rx,9,3,B0,0E,00,00,00,00,00,00,
5817369,00000008,false,Rx,9,1,E3,00,00,00,00,00,00,00,
5828400,00000040,false,Rx,9,8,21,00,00,08,FC,80,00,00,
5828568,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
5829131,00000008,false,Rx,9,1,E1,00,00,00,00,00,00,00,
5829683,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5830871,00000040,false,Rx,9,8,21,00,00,08,FC,80,00,00,
5831634,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
5832184,00000008,false,Rx,9,1,E1,00,00,00,00,00,00,00,
5833375,00000040,false,Rx,9,8,24,00,00,08,FC,40,00,00,
5834031,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
5834584,00000008,false,Rx,9,1,E4,00,00,00,00,00,00,00,
5835911,00000040,false,Rx,9,7,B0,92,FF,FF,93,E5,00,00,
5837106,00000040,false,Rx,9,8,24,00,00,08,FC,40,00,00,
5837874,00000008,false,Rx,9,1,E4,00,00,00,00,00,00,00,
5852564,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
5853143,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5853805,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
5854568,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
5869493,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
5870076,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5870841,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
5871604,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
5884658,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
5885529,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5890608,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
5891303,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
5895737,00000010,false,Rx,9,3,B0,0E,00,00,00,00,00,00,
5900959,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
5905536,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5910608,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
5911300,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
5920963,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
5925541,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5930619,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
5931341,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
5949537,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
5950120,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5950805,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
5951758,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
5961075,00000040,false,Rx,9,8,27,00,00,FD,00,80,00,00,
