Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
15751001,00000040,false,Rx,9,3,B0,01,20,00,00,00,00,00,
15752137,00000008,false,Rx,9,7,B0,01,20,0F,FF,07,00,00,
15754330,0000029C,false,Rx,9,3,03,00,1A,00,00,00,00,00,
313544,00000010,false,Rx,9,7,B0,11,20,01,20,0D,00,00,
314104,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
318154,00000040,false,Rx,9,3,B0,01,20,00,00,00,00,00,
318178,00000008,false,Rx,9,7,B0,01,20,0F,FF,07,00,00,
319366,000002BC,false,Rx,9,3,03,00,0F,00,00,00,00,00,
333515,00000010,false,Rx,9,7,B0,11,20,01,20,0D,00,00,
334191,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
338234,00000040,false,Rx,9,3,B0,01,20,00,00,00,00,00,
338254,00000008,false,Rx,9,7,B0,01,20,0F,FF,07,00,00,
339433,000002B4,false,Rx,9,3,03,00,02,00,00,00,00,00,
353608,00000010,false,Rx,9,7,B0,11,20,01,20,0D,00,00,
354168,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
358230,00000040,false,Rx,9,3,B0,01,20,00,00,00,00,00,
358250,00000008,false,Rx,9,7,B0,01,20,0F,FF,07,00,00,
359319,000003AC,false,Rx,9,3,03,00,1D,00,00,00,00,00,
373522,00000010,false,Rx,9,7,B0,11,20,01,20,0D,00,00,
374209,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
378333,00000040,false,Rx,9,3,B0,01,20,00,00,00,00,00,
378353,00000008,false,Rx,9,7,B0,01,20,0F,FF,07,00,00,
379369,000003A4,false,Rx,9,3,03,00,2C,00,00,00,00,00,
393522,00000010,false,Rx,9,7,B0,11,20,01,20,0D,00,00,
394185,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
398383,00000040,false,Rx,9,3,B0,01,20,00,00,00,00,00,
398406,00000008,false,Rx,9,7,B0,01,20,0F,FF,07,00,00,
413568,00000010,false,Rx,9,7,B0,11,20,01,20,0D,00,00,
414140,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
418406,00000008,false,Rx,9,7,B0,01,20,0F,FF,07,00,00,
418426,00000040,false,Rx,9,3,B0,01,20,00,00,00,00,00,
420850,0000029C,false,Rx,9,3,03,00,1A,00,00,00,00,00,
433593,00000010,false,Rx,9,7,B0,11,20,01,20,0D,00,00,
434151,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
438448,00000008,false,Rx,9,7,B0,01,20,0C,B6,0F,FF,00,
438470,00000040,false,Rx,9,3,B0,01,20,00,00,00,00,00,
439105,00000008,false,Rx,9,7,B0,0E,00,07,00,0D,09,00,
439773,000002BC,false,Rx,9,3,03,00,0F,00,00,00,00,00,
453581,00000010,false,Rx,9,7,B0,11,20,01,20,0D,00,00,
454145,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
458527,00000040,false,Rx,9,6,B0,01,20,92,FF,FF,00,00,
458547,00000008,false,Rx,9,7,B0,01,20,0F,FF,07,00,00,
459423,00000040,false,Rx,9,6,B0,93,E5,00,14,00,00,00,
460720,000002B4,false,Rx,9,3,03,00,0A,00,00,00,00,00,
473556,00000010,false,Rx,9,7,B0,11,20,01,20,0E,00,00,
474109,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
474873,00000010,false,Rx,9,3,B0,0D,00,00,00,00,00,00,
478682,00000040,false,Rx,9,3,B0,01,20,00,00,00,00,00,
478701,00000008,false,Rx,9,7,B0,01,20,0F,FF,07,00,00,
479721,000003AC,false,Rx,9,3,03,00,1D,00,00,00,00,00,
493581,00000010,false,Rx,9,7,B0,11,20,01,20,0D,00,00,
494157,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
497042,00000040,false,Rx,9,3,B0,01,20,00,00,00,00,00,
498736,00000008,false,Rx,9,7,B0,01,20,0F,FF,07,00,00,
499444,000003A4,false,Rx,9,3,03,00,2C,00,00,00,00,00,
513575,00000010,false,Rx,9,7,B0,11,20,01,20,0D,00,00,
514151,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
517030,00000040,false,Rx,9,3,B0,01,20,00,00,00,00,00,
518836,00000008,false,Rx,9,7,B0,01,20,0F,FF,07,00,00,
533552,00000010,false,Rx,9,7,B0,11,20,01,20,0D,00,00,
