Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5652471,00000040,false,Rx,9,8,20,00,00,08,00,80,00,00,
5657488,00000040,false,Rx,9,8,20,00,00,08,00,80,00,00,
5714833,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5717099,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5719346,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5721593,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5723843,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5726087,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5728336,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5730455,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5732032,00000040,false,Rx,9,8,23,00,00,08,FC,80,00,00,
5732797,00000010,false,Rx,9,1,A3,00,00,00,00,00,00,00,
5733241,00000008,false,Rx,9,1,E3,00,00,00,00,00,00,00,
5737186,00000040,false,Rx,9,8,23,00,00,08,FC,80,00,00,
5737844,00000010,false,Rx,9,1,A3,00,00,00,00,00,00,00,
5738391,00000008,false,Rx,9,1,E3,00,00,00,00,00,00,00,
5743712,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5745319,00000040,false,Rx,9,8,21,00,00,08,FC,80,00,00,
5745976,00000010,false,Rx,9,1,A1,00,00,00,00,00,00,00,
5746525,00000008,false,Rx,9,1,E1,00,00,00,00,00,00,00,
5750534,00000040,false,Rx,9,8,21,00,00,08,FC,80,00,00,
5751155,00000010,false,Rx,9,1,A1,00,00,00,00,00,00,00,
5751761,00000008,false,Rx,9,1,E1,00,00,00,00,00,00,00,
5756109,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5757630,00000040,false,Rx,9,8,24,00,00,08,FC,40,00,00,
5758393,00000010,false,Rx,9,1,A4,00,00,00,00,00,00,00,
5758840,00000008,false,Rx,9,1,E4,00,00,00,00,00,00,00,
5762681,00000040,false,Rx,9,8,24,00,00,08,FC,40,00,00,
5763441,00000010,false,Rx,9,1,A4,00,00,00,00,00,00,00,
5763993,00000008,false,Rx,9,1,E4,00,00,00,00,00,00,00,
5770997,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5778527,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5778547,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5782498,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5786117,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5790567,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
