Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
7516426,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
7521465,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
7522225,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
7543120,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
7543692,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
7544461,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
7546226,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
7566308,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
7566327,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
7566881,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
7567647,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
7589902,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
7590462,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
7591222,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
7591936,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
7592705,00000010,false,Rx,9,3,B0,0E,00,00,00,00,00,00,
7593890,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
7596347,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
7601460,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
7602221,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
7651920,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
7652610,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
7653408,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
7654291,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
7655410,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
7656075,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
7656839,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
7657613,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
7658798,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
7659456,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
7661491,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
7662676,00000040,false,Rx,9,8,23,00,00,08,FC,80,00,00,
7663545,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
7664093,00000008,false,Rx,9,1,A3,00,00,00,00,00,00,00,
