Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4301791788,00000010,false,Rx,9,4,30,08,00,01,00,00,00,00,
4301829907,00000010,false,Rx,9,3,B0,01,00,00,00,00,00,00,
4301848315,00000010,false,Rx,9,3,B0,01,02,00,00,00,00,00,
4301888286,00000010,false,Rx,9,3,B0,01,02,00,00,00,00,00,
4301909007,00000010,false,Rx,9,5,B0,01,02,11,10,00,00,00,
4301910214,00000010,false,Rx,9,8,10,00,00,00,00,FF,00,00,
4301929898,00000010,false,Rx,9,5,B0,01,10,11,10,00,00,00,
4301931209,00000010,false,Rx,9,8,10,00,00,01,02,7C,00,00,
4301950407,00000010,false,Rx,9,8,12,00,00,00,00,12,00,00,
4301952907,00000010,false,Rx,9,3,B0,0D,00,00,00,00,00,00,
4301953882,00000010,false,Rx,9,4,30,01,00,0F,00,00,00,00,
4301954858,00000010,false,Rx,9,4,30,01,00,0E,00,00,00,00,
4301955723,00000010,false,Rx,9,4,30,01,00,07,00,00,00,00,
4301961088,00000010,false,Rx,9,4,30,08,00,12,00,00,00,00,
4301968681,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4301989249,00000010,false,Rx,9,7,B0,01,10,11,10,0E,00,00,
4301990068,00000010,false,Rx,9,3,B0,0D,00,00,00,00,00,00,
4302009137,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302029469,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302049196,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302069108,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302089117,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302109124,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302129154,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302149147,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302189143,00000010,false,Rx,9,7,B0,01,10,11,10,0E,00,00,
4302189927,00000010,false,Rx,9,3,B0,0D,00,00,00,00,00,00,
4302209248,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302229314,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302249196,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302269252,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302289472,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302309217,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302329252,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302349301,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302353914,00000010,false,Rx,9,4,30,08,00,2C,00,00,00,00,
4302370260,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302389136,00000010,false,Rx,9,7,B0,01,10,11,10,0E,00,00,
4302390030,00000010,false,Rx,9,3,B0,0D,00,00,00,00,00,00,
4302409493,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302429245,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302449274,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302469238,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302489301,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302509175,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302529475,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302549430,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302570266,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302589223,00000010,false,Rx,9,7,B0,01,10,11,10,0E,00,00,
4302590098,00000010,false,Rx,9,3,B0,0D,00,00,00,00,00,00,
4302609342,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302629208,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302649521,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302669291,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302689362,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302709309,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302729253,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302749380,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302753698,00000010,false,Rx,9,4,30,08,00,2D,00,00,00,00,
4302754381,00000010,false,Rx,9,4,31,08,00,2C,00,00,00,00,
4302789337,00000010,false,Rx,9,7,B0,01,10,11,10,0E,00,00,
4302791062,00000010,false,Rx,9,3,B0,0D,00,00,00,00,00,00,
4302809330,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302829371,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302849318,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302869285,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302889550,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302909334,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302929381,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302949317,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302970401,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4302989219,00000010,false,Rx,9,7,B0,01,10,11,10,0E,00,00,
4302990090,00000010,false,Rx,9,3,B0,0D,00,00,00,00,00,00,
4303029320,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4303049303,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4303069418,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4303089357,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4303109275,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4303129566,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4303149382,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4303153615,00000010,false,Rx,9,4,30,08,00,2E,00,00,00,00,
4303154480,00000010,false,Rx,9,4,31,08,00,2D,00,00,00,00,
4303170391,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4303189311,00000010,false,Rx,9,7,B0,01,10,11,10,0E,00,00,
4303190193,00000010,false,Rx,9,3,B0,0D,00,00,00,00,00,00,
4303209376,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4303229297,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4303249542,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4303269389,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4303289421,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4303309408,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4303329419,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4303349333,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
4303389362,00000010,false,Rx,9,7,B0,01,10,11,10,0E,00,00,
4303390260,00000010,false,Rx,9,3,B0,0D,00,00,00,00,00,00,
4303409399,00000010,false,Rx,9,7,B0,01,10,11,20,0D,00,00,
4303429593,00000010,false,Rx,9,7,B0,01,20,11,20,0D,00,00,
4303449545,00000010,false,Rx,9,7,B0,01,20,11,20,0D,00,00,
