Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
342739,00001000,true,Rx,9,8,00,00,00,4A,00,00,17,45,
344514,00001001,true,Rx,9,8,00,00,00,00,00,00,00,00,
345895,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
1342733,00001000,true,Rx,9,8,00,00,00,4B,00,00,17,45,
1344131,00001001,true,Rx,9,8,00,00,00,00,00,00,00,00,
1345496,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
2343087,00001000,true,Rx,9,8,00,00,00,4C,00,00,17,45,
2344723,00001001,true,Rx,9,8,00,00,00,00,00,00,00,00,
2346181,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
3343170,00001000,true,Rx,9,8,00,00,00,4D,00,00,17,45,
3344613,00001001,true,Rx,9,8,00,00,00,00,00,00,00,00,
3345976,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
4342925,00001000,true,Rx,9,8,00,00,00,4E,00,00,17,45,
4344379,00001001,true,Rx,9,8,00,00,00,00,00,00,00,00,
4345757,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
5342960,00001000,true,Rx,9,8,00,00,00,4F,00,00,17,45,
5344353,00001001,true,Rx,9,8,00,00,00,00,00,00,00,00,
5345585,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
5799301,00000040,false,Rx,9,8,20,00,00,08,00,00,00,00,
5804322,00000040,false,Rx,9,8,20,00,00,08,00,00,00,00,
5861623,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5863883,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5866132,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5868378,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5870658,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5872908,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5877205,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5879790,00000040,false,Rx,9,8,23,00,00,08,FC,80,00,00,
5879810,00000008,false,Rx,9,1,A3,00,00,00,00,00,00,00,
5880092,00000010,false,Rx,9,1,A3,00,00,00,00,00,00,00,
5883886,00000040,false,Rx,9,8,23,00,00,08,FC,80,00,00,
5884557,00000008,false,Rx,9,1,A3,00,00,00,00,00,00,00,
5885110,00000010,false,Rx,9,1,A3,00,00,00,00,00,00,00,
5890427,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5892037,00000040,false,Rx,9,8,21,00,00,08,FC,80,00,00,
5892798,00000008,false,Rx,9,1,A1,00,00,00,00,00,00,00,
5893350,00000010,false,Rx,9,1,A1,00,00,00,00,00,00,00,
5897187,00000040,false,Rx,9,8,21,00,00,08,FC,80,00,00,
5897842,00000008,false,Rx,9,1,A1,00,00,00,00,00,00,00,
5899642,00000010,false,Rx,9,1,A1,00,00,00,00,00,00,00,
5903014,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5904377,00000040,false,Rx,9,8,24,00,00,08,FC,40,00,00,
5905142,00000008,false,Rx,9,1,A4,00,00,00,00,00,00,00,
5905723,00000010,false,Rx,9,1,A4,00,00,00,00,00,00,00,
5909460,00000040,false,Rx,9,8,24,00,00,08,FC,40,00,00,
5910223,00000008,false,Rx,9,1,A4,00,00,00,00,00,00,00,
5910772,00000010,false,Rx,9,1,A4,00,00,00,00,00,00,00,
5917790,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5921572,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5925366,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5929109,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5932836,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5936746,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5940533,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5944295,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5948132,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5951859,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5955695,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5959724,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5963430,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5967175,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5970903,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5974741,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5979688,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5982446,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5986179,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5990015,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5993847,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5997684,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6001615,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6005397,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6009143,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6012978,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6016812,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6020645,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6024398,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6028130,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6032179,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6036226,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6039970,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6042299,00000040,false,Rx,9,8,27,00,00,FD,00,80,00,00,
6047242,00000040,false,Rx,9,8,13,01,00,00,00,FF,00,00,
6063015,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6066947,0000029C,false,Rx,9,3,03,00,1A,00,00,00,00,00,
6071969,00000010,false,Rx,9,4,30,08,00,01,00,00,00,00,
6073048,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6083363,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6085447,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6089497,000002BC,false,Rx,9,3,03,00,0B,00,00,00,00,00,
6102634,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6105442,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6108113,000002B4,false,Rx,9,3,03,00,0A,00,00,00,00,00,
6109827,00000040,false,Rx,9,5,30,02,00,01,08,00,00,00,
6110909,00000008,false,Rx,9,3,B0,01,02,00,00,00,00,00,
6111569,00000010,false,Rx,9,3,B0,01,00,00,00,00,00,00,
6122609,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6125516,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
6127553,000003AC,false,Rx,9,3,03,00,1D,00,00,00,00,00,
6128316,00000010,false,Rx,9,3,B0,01,02,00,00,00,00,00,
6132788,00000008,false,Rx,9,5,B0,01,02,0C,BB,00,00,00,
