Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4297725430,00000040,false,Rx,9,8,20,00,00,08,00,00,00,00,
4297730443,00000040,false,Rx,9,8,20,00,00,08,00,00,00,00,
4297787808,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297789973,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297792522,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297794480,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297796726,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297798975,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297803341,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297804953,00000040,false,Rx,9,8,23,00,00,08,FC,80,00,00,
4297805609,00000008,false,Rx,9,1,A3,00,00,00,00,00,00,00,
4297806161,00000010,false,Rx,9,1,A3,00,00,00,00,00,00,00,
4297809998,00000040,false,Rx,9,8,23,00,00,08,FC,80,00,00,
4297810758,00000008,false,Rx,9,1,A3,00,00,00,00,00,00,00,
4297812544,00000010,false,Rx,9,1,A3,00,00,00,00,00,00,00,
4297816602,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297818227,00000040,false,Rx,9,8,21,00,00,08,FC,80,00,00,
4297818888,00000008,false,Rx,9,1,A1,00,00,00,00,00,00,00,
4297819437,00000010,false,Rx,9,1,A1,00,00,00,00,00,00,00,
4297823275,00000040,false,Rx,9,8,21,00,00,08,FC,80,00,00,
4297824038,00000008,false,Rx,9,1,A1,00,00,00,00,00,00,00,
4297824589,00000010,false,Rx,9,1,A1,00,00,00,00,00,00,00,
4297828957,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297830564,00000040,false,Rx,9,8,24,00,00,08,FC,40,00,00,
4297832560,00000008,false,Rx,9,1,A4,00,00,00,00,00,00,00,
4297832579,00000010,false,Rx,9,1,A4,00,00,00,00,00,00,00,
4297835606,00000040,false,Rx,9,8,24,00,00,08,FC,40,00,00,
4297836378,00000008,false,Rx,9,1,A4,00,00,00,00,00,00,00,
4297836930,00000010,false,Rx,9,1,A4,00,00,00,00,00,00,00,
4297843903,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297847636,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297852634,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297855261,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297859106,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297862859,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297866691,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297870424,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297874248,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297878010,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297881848,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297885683,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297889522,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297893349,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297897176,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297900920,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
