Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
755577,00001000,true,Rx,9,8,00,00,00,2A,00,00,1D,0F,
757004,00001001,true,Rx,9,8,00,00,00,88,00,00,00,00,
758368,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
1755611,00001000,true,Rx,9,8,00,00,00,2B,00,00,1D,0F,
1757022,00001001,true,Rx,9,8,00,00,00,88,00,00,00,00,
1758382,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
2755628,00001000,true,Rx,9,8,00,00,00,2C,00,00,1D,0F,
2757032,00001001,true,Rx,9,8,00,00,00,88,00,00,00,00,
2758446,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
3755695,00001000,true,Rx,9,8,00,00,00,2D,00,00,1D,0F,
3757117,00001001,true,Rx,9,8,00,00,00,88,00,00,00,00,
3758503,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
4755736,00001000,true,Rx,9,8,00,00,00,2E,00,00,1D,0F,
4757173,00001001,true,Rx,9,8,00,00,00,88,00,00,00,00,
4758542,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
5755739,00001000,true,Rx,9,8,00,00,00,2F,00,00,1D,0F,
5757064,00001001,true,Rx,9,8,00,00,00,88,00,00,00,00,
5758582,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
6755435,00001000,true,Rx,9,8,00,00,00,30,00,00,1D,0F,
6756815,00001001,true,Rx,9,8,00,00,00,88,00,00,00,00,
6758131,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
7755517,00001000,true,Rx,9,8,00,00,00,31,00,00,1D,0F,
7756910,00001001,true,Rx,9,8,00,00,00,88,00,00,00,00,
7758288,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
8584114,00000040,false,Rx,9,8,20,00,00,08,00,40,00,00,
8589144,00000040,false,Rx,9,8,20,00,00,08,00,40,00,00,
8646415,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8648690,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8650936,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8653224,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8655537,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8657718,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8661988,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8664245,00000040,false,Rx,9,8,23,00,00,08,FC,80,00,00,
8664406,00000008,false,Rx,9,1,A3,00,00,00,00,00,00,00,
8664954,00000010,false,Rx,9,1,A3,00,00,00,00,00,00,00,
8668722,00000040,false,Rx,9,8,23,00,00,08,FC,80,00,00,
8669399,00000008,false,Rx,9,1,A3,00,00,00,00,00,00,00,
8669951,00000010,false,Rx,9,1,A3,00,00,00,00,00,00,00,
8675271,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8676883,00000040,false,Rx,9,8,21,00,00,08,FC,80,00,00,
8677542,00000008,false,Rx,9,1,A1,00,00,00,00,00,00,00,
8678195,00000010,false,Rx,9,1,A1,00,00,00,00,00,00,00,
8681927,00000040,false,Rx,9,8,21,00,00,08,FC,80,00,00,
8683925,00000008,false,Rx,9,1,A1,00,00,00,00,00,00,00,
8683944,00000010,false,Rx,9,1,A1,00,00,00,00,00,00,00,
8687672,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8689188,00000040,false,Rx,9,8,24,00,00,08,FC,00,00,00,
8689950,00000008,false,Rx,9,1,A4,00,00,00,00,00,00,00,
8690505,00000010,false,Rx,9,1,A4,00,00,00,00,00,00,00,
8694339,00000040,false,Rx,9,8,24,00,00,08,FC,00,00,00,
8694997,00000008,false,Rx,9,1,A4,00,00,00,00,00,00,00,
8695550,00000010,false,Rx,9,1,A4,00,00,00,00,00,00,00,
8704020,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8706316,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8710160,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8713888,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8717720,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8721558,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8725444,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8729204,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8732948,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8736681,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8740518,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8755679,00001000,true,Rx,9,8,00,00,00,32,00,00,1D,3A,
8757083,00001001,true,Rx,9,8,00,00,00,88,00,00,00,00,
8758440,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
8744331,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8748204,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8751930,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8760892,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8760918,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8764085,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8767208,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8771074,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8774926,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8778660,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8782493,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8786400,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8790259,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8793999,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
