Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
633244,00001000,true,Rx,9,8,00,00,00,0F,00,00,00,00,
634672,00001001,true,Rx,9,8,00,00,00,00,00,00,00,00,
636071,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
1633272,00001000,true,Rx,9,8,00,00,00,10,00,00,00,00,
1634686,00001001,true,Rx,9,8,00,00,00,00,00,00,00,00,
1636072,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
2633299,00001000,true,Rx,9,8,00,00,00,11,00,00,00,00,
2634737,00001001,true,Rx,9,8,00,00,00,00,00,00,00,00,
2636140,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
3633299,00001000,true,Rx,9,8,00,00,00,12,00,00,00,00,
3634717,00001001,true,Rx,9,8,00,00,00,00,00,00,00,00,
3636109,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
4633337,00001000,true,Rx,9,8,00,00,00,13,00,00,00,00,
4634794,00001001,true,Rx,9,8,00,00,00,00,00,00,00,00,
4636193,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
5633395,00001000,true,Rx,9,8,00,00,00,14,00,00,00,00,
5634813,00001001,true,Rx,9,8,00,00,00,00,00,00,00,00,
5636529,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
6633143,00001000,true,Rx,9,8,00,00,00,15,00,00,00,00,
6634531,00001001,true,Rx,9,8,00,00,00,00,00,00,00,00,
6635737,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
6813432,00000040,false,Rx,9,8,20,00,00,08,00,00,00,00,
6818452,00000040,false,Rx,9,8,20,00,00,08,00,00,00,00,
6875705,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6877975,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6880264,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6882413,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6884734,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6887031,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6889316,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6891447,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6892946,00000040,false,Rx,9,8,23,00,00,08,FC,80,00,00,
6893630,00000008,false,Rx,9,1,A3,00,00,00,00,00,00,00,
6894188,00000010,false,Rx,9,1,A3,00,00,00,00,00,00,00,
6898028,00000040,false,Rx,9,8,23,00,00,08,FC,80,00,00,
6898684,00000008,false,Rx,9,1,A3,00,00,00,00,00,00,00,
6899236,00000010,false,Rx,9,1,A3,00,00,00,00,00,00,00,
6904552,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6906164,00000040,false,Rx,9,8,21,00,00,08,FC,80,00,00,
6906928,00000008,false,Rx,9,1,A1,00,00,00,00,00,00,00,
6908959,00000010,false,Rx,9,1,A1,00,00,00,00,00,00,00,
6911307,00000040,false,Rx,9,8,21,00,00,08,FC,80,00,00,
6911986,00000008,false,Rx,9,1,A1,00,00,00,00,00,00,00,
6912797,00000010,false,Rx,9,1,A1,00,00,00,00,00,00,00,
6916922,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6918528,00000040,false,Rx,9,8,24,00,00,08,FC,40,00,00,
6919186,00000008,false,Rx,9,1,A4,00,00,00,00,00,00,00,
6919742,00000010,false,Rx,9,1,A4,00,00,00,00,00,00,00,
6923575,00000040,false,Rx,9,8,24,00,00,08,FC,40,00,00,
6924341,00000008,false,Rx,9,1,A4,00,00,00,00,00,00,00,
6924893,00000010,false,Rx,9,1,A4,00,00,00,00,00,00,00,
6931946,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6935702,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6939430,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6943160,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6947002,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6950897,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6954667,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6958415,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6962252,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6965983,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
