Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
551249,00001000,true,Rx,9,8,00,00,00,0A,00,00,00,00,
552664,00001001,true,Rx,9,8,00,00,00,00,00,00,00,00,
554056,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
1551288,00001000,true,Rx,9,8,00,00,00,0B,00,00,00,00,
1552704,00001001,true,Rx,9,8,00,00,00,00,00,00,00,00,
1554092,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
2551394,00001000,true,Rx,9,8,00,00,00,0C,00,00,00,00,
2552807,00001001,true,Rx,9,8,00,00,00,00,00,00,00,00,
2554180,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
3551414,00001000,true,Rx,9,8,00,00,00,0D,00,00,00,00,
3552826,00001001,true,Rx,9,8,00,00,00,00,00,00,00,00,
3554165,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
4551452,00001000,true,Rx,9,8,00,00,00,0E,00,00,00,00,
4552844,00001001,true,Rx,9,8,00,00,00,00,00,00,00,00,
4554200,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
5551223,00001000,true,Rx,9,8,00,00,00,0F,00,00,00,00,
5552589,00001001,true,Rx,9,8,00,00,00,00,00,00,00,00,
5553940,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
6551362,00001000,true,Rx,9,8,00,00,00,10,00,00,00,00,
6553054,00001001,true,Rx,9,8,00,00,00,00,00,00,00,00,
6554509,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
6830119,00000040,false,Rx,9,8,20,00,00,08,00,00,00,00,
6835143,00000040,false,Rx,9,8,20,00,00,08,00,00,00,00,
6892506,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6894658,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6896903,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6899765,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6901527,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6903669,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6908037,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6909649,00000040,false,Rx,9,8,23,00,00,08,FC,80,00,00,
6910411,00000008,false,Rx,9,1,A3,00,00,00,00,00,00,00,
6910967,00000010,false,Rx,9,1,A3,00,00,00,00,00,00,00,
6914695,00000040,false,Rx,9,8,23,00,00,08,FC,80,00,00,
6915458,00000008,false,Rx,9,1,A3,00,00,00,00,00,00,00,
6916009,00000010,false,Rx,9,1,A3,00,00,00,00,00,00,00,
6921378,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6922920,00000040,false,Rx,9,8,21,00,00,08,FC,80,00,00,
6923579,00000008,false,Rx,9,1,A1,00,00,00,00,00,00,00,
6924236,00000010,false,Rx,9,1,A1,00,00,00,00,00,00,00,
6928084,00000040,false,Rx,9,8,21,00,00,08,FC,80,00,00,
6928751,00000008,false,Rx,9,1,A1,00,00,00,00,00,00,00,
6929303,00000010,false,Rx,9,1,A1,00,00,00,00,00,00,00,
6933671,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6935283,00000040,false,Rx,9,8,24,00,00,08,FC,40,00,00,
6935942,00000008,false,Rx,9,1,A4,00,00,00,00,00,00,00,
6936490,00000010,false,Rx,9,1,A4,00,00,00,00,00,00,00,
6940422,00000040,false,Rx,9,8,24,00,00,08,FC,40,00,00,
6941109,00000008,false,Rx,9,1,A4,00,00,00,00,00,00,00,
6941655,00000010,false,Rx,9,1,A4,00,00,00,00,00,00,00,
6948566,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6952404,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6956132,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6960074,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6963748,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6967576,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6971334,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6975195,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6979933,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6982813,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6986552,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6990389,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6994226,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6997957,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
7001890,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
7005697,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
7009441,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
7013277,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
7017112,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
7021009,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
7024772,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
7028506,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
7032342,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
