Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
837010,00001000,true,Rx,9,8,00,00,02,2F,00,00,34,29,
838415,00001001,true,Rx,9,8,00,00,00,88,00,00,00,00,
839802,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
1837128,00001000,true,Rx,9,8,00,00,02,30,00,00,34,29,
1838543,00001001,true,Rx,9,8,00,00,00,88,00,00,00,00,
1839883,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
2836852,00001000,true,Rx,9,8,00,00,02,31,00,00,34,29,
2838229,00001001,true,Rx,9,8,00,00,00,88,00,00,00,00,
2839586,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
3836878,00001000,true,Rx,9,8,00,00,02,32,00,00,34,29,
3838277,00001001,true,Rx,9,8,00,00,00,88,00,00,00,00,
3839605,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
4836983,00001000,true,Rx,9,8,00,00,02,33,00,00,34,29,
4838385,00001001,true,Rx,9,8,00,00,00,88,00,00,00,00,
4839824,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
5837276,00001000,true,Rx,9,8,00,00,02,34,00,00,34,29,
5838693,00001001,true,Rx,9,8,00,00,00,88,00,00,00,00,
5840056,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
6837370,00001000,true,Rx,9,8,00,00,02,35,00,00,34,29,
6838778,00001001,true,Rx,9,8,00,00,00,88,00,00,00,00,
6840132,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
7837123,00001000,true,Rx,9,8,00,00,02,36,00,00,34,29,
7838512,00001001,true,Rx,9,8,00,00,00,88,00,00,00,00,
7839871,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
8837511,00001000,true,Rx,9,8,00,00,02,37,00,00,34,29,
8838926,00001001,true,Rx,9,8,00,00,00,88,00,00,00,00,
8840290,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
9359248,00000040,false,Rx,9,8,20,00,00,08,00,C0,00,00,
9364270,00000040,false,Rx,9,8,20,00,00,08,00,C0,00,00,
9421583,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9423754,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9425999,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9428355,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9431198,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9432864,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9437125,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9438738,00000040,false,Rx,9,8,23,00,00,08,FC,80,00,00,
9439393,00000008,false,Rx,9,1,A3,00,00,00,00,00,00,00,
9439945,00000010,false,Rx,9,1,A3,00,00,00,00,00,00,00,
9443825,00000040,false,Rx,9,8,23,00,00,08,FC,80,00,00,
9444599,00000008,false,Rx,9,1,A3,00,00,00,00,00,00,00,
9445042,00000010,false,Rx,9,1,A3,00,00,00,00,00,00,00,
9451318,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9452026,00000040,false,Rx,9,8,21,00,00,08,FC,80,00,00,
9452692,00000008,false,Rx,9,1,A1,00,00,00,00,00,00,00,
9453242,00000010,false,Rx,9,1,A1,00,00,00,00,00,00,00,
9457090,00000040,false,Rx,9,8,21,00,00,08,FC,80,00,00,
9457762,00000008,false,Rx,9,1,A1,00,00,00,00,00,00,00,
9458416,00000010,false,Rx,9,1,A1,00,00,00,00,00,00,00,
9462681,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9464290,00000040,false,Rx,9,8,24,00,00,08,FC,40,00,00,
9465055,00000008,false,Rx,9,1,A4,00,00,00,00,00,00,00,
9465607,00000010,false,Rx,9,1,A4,00,00,00,00,00,00,00,
9469441,00000040,false,Rx,9,8,24,00,00,08,FC,40,00,00,
9471338,00000008,false,Rx,9,1,A4,00,00,00,00,00,00,00,
9471357,00000010,false,Rx,9,1,A4,00,00,00,00,00,00,00,
9477679,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9481521,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9485250,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9489062,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9492860,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9496702,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9500437,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9504273,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9508003,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9511939,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9515593,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9519425,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9523263,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9527099,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9531550,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9534695,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9538538,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9542389,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9546178,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9549929,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9553873,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9557635,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9561471,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9565309,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9569150,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9572966,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9576776,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9580525,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9584361,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9588095,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9592158,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9596204,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9598563,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9602190,00000040,false,Rx,9,8,27,00,00,FD,00,80,00,00,
9607195,00000040,false,Rx,9,8,13,01,00,00,00,FF,00,00,
9622934,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9626953,0000029C,false,Rx,9,3,03,00,1A,00,00,00,00,00,
9632182,00000010,false,Rx,9,4,30,08,00,01,00,00,00,00,
9633076,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
9642492,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9645390,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
9649392,000002BC,false,Rx,9,3,03,00,0B,00,00,00,00,00,
9663212,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9665276,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
9667948,000002B4,false,Rx,9,3,03,00,0A,00,00,00,00,00,
9669563,00000040,false,Rx,9,5,30,02,00,01,08,00,00,00,
9672014,00000010,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
9672703,00000010,false,Rx,9,4,30,01,00,01,00,00,00,00,
9673361,00000008,false,Rx,9,3,B0,01,02,00,00,00,00,00,
9682483,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9685278,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
9687417,000003AC,false,Rx,9,3,03,00,1D,00,00,00,00,00,
9688393,00000010,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
9694742,00000008,false,Rx,9,5,B0,01,02,0C,B6,00,00,00,
9695959,00000008,false,Rx,9,8,10,00,00,00,00,FF,00,00,
9702553,00000040,false,Rx,9,8,90,01,00,00,06,29,00,00,
9704268,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9705563,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
